"REF_DATE","GEO","DGUID","Level of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010/2011","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","7157","","","","0"
"2010/2011","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","12433","","","","0"
"2010/2011","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","14325","","","","0"
"2010/2011","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","5647","","","","0"
"2010/2011","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5034","","","","0"
"2010/2011","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","11660","","","","0"
"2010/2011","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","8965","","","","0"
"2010/2011","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2411","","","","0"
"2010/2011","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2601","","","","0"
"2010/2011","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","15999","","","","0"
"2010/2011","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","14623","","","","0"
"2010/2011","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","6316","","","","0"
"2010/2011","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","7181","","","","0"
"2010/2011","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","19098","","","","0"
"2010/2011","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","14920","","","","0"
"2010/2011","Manitoba","2016A000246","Canadian undergraduate","Dollars","81","units ","0","v96320880","8.1","3593","","","","0"
"2010/2011","Manitoba","2016A000246","Canadian graduate","Dollars","81","units ","0","v96320881","8.2","4132","","","","0"
"2010/2011","Manitoba","2016A000246","International undergraduate","Dollars","81","units ","0","v96320882","8.3","11754","","","","0"
"2010/2011","Manitoba","2016A000246","International graduate","Dollars","81","units ","0","v96320883","8.4","8204","","","","0"
"2010/2011","Saskatchewan","2016A000247","Canadian undergraduate","Dollars","81","units ","0","v96320884","9.1","5431","","","","0"
"2010/2011","Saskatchewan","2016A000247","Canadian graduate","Dollars","81","units ","0","v96320885","9.2","3434","","","","0"
"2010/2011","Saskatchewan","2016A000247","International undergraduate","Dollars","81","units ","0","v96320886","9.3","13815","","","","0"
"2010/2011","Saskatchewan","2016A000247","International graduate","Dollars","81","units ","0","v96320887","9.4","3517","","","","0"
"2010/2011","Alberta","2016A000248","Canadian undergraduate","Dollars","81","units ","0","v96320888","10.1","5505","","","","0"
"2010/2011","Alberta","2016A000248","Canadian graduate","Dollars","81","units ","0","v96320889","10.2","4672","","","","0"
"2010/2011","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","17652","","","","0"
"2010/2011","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","9408","","","","0"
"2010/2011","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","4758","","","","0"
"2010/2011","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","7178","","","","0"
"2010/2011","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","17170","","","","0"
"2010/2011","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","10930","","","","0"
"2011/2012","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","5313","","","","0"
"2011/2012","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","5450","","","","0"
"2011/2012","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","17668","","","","0"
"2011/2012","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","12835","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2649","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2456","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","9758","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2789","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","5258","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","3992","","","","0"
"2011/2012","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","24251","","","","0"
"2011/2012","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","9370","","","","0"
"2011/2012","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","5722","","","","0"
"2011/2012","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","7427","","","","0"
"2011/2012","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","12884","","","","0"
"2011/2012","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","15071","","","","0"
"2011/2012","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","5728","","","","0"
"2011/2012","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5258","","","","0"
"2011/2012","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","12100","","","","0"
"2011/2012","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","9201","","","","0"
"2011/2012","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2520","","","","0"
"2011/2012","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2718","","","","0"
"2011/2012","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","16362","","","","0"
"2011/2012","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","14276","","","","0"
"2011/2012","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","6815","","","","0"
"2011/2012","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","7682","","","","0"
"2011/2012","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","21037","","","","0"
"2011/2012","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","15943","","","","0"
"2011/2012","Manitoba","2016A000246","Canadian undergraduate","Dollars","81","units ","0","v96320880","8.1","3638","","","","0"
"2011/2012","Manitoba","2016A000246","Canadian graduate","Dollars","81","units ","0","v96320881","8.2","4173","","","","0"
"2011/2012","Manitoba","2016A000246","International undergraduate","Dollars","81","units ","0","v96320882","8.3","11815","","","","0"
"2011/2012","Manitoba","2016A000246","International graduate","Dollars","81","units ","0","v96320883","8.4","8287","","","","0"
"2011/2012","Saskatchewan","2016A000247","Canadian undergraduate","Dollars","81","units ","0","v96320884","9.1","5734","","","","0"
"2011/2012","Saskatchewan","2016A000247","Canadian graduate","Dollars","81","units ","0","v96320885","9.2","3444","","","","0"
"2011/2012","Saskatchewan","2016A000247","International undergraduate","Dollars","81","units ","0","v96320886","9.3","14755","","","","0"
"2011/2012","Saskatchewan","2016A000247","International graduate","Dollars","81","units ","0","v96320887","9.4","3900","","","","0"
"2011/2012","Alberta","2016A000248","Canadian undergraduate","Dollars","81","units ","0","v96320888","10.1","5663","","","","0"
"2011/2012","Alberta","2016A000248","Canadian graduate","Dollars","81","units ","0","v96320889","10.2","4676","","","","0"
"2011/2012","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","18505","","","","0"
"2011/2012","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","9439","","","","0"
"2011/2012","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","4919","","","","0"
"2011/2012","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","7442","","","","0"
"2011/2012","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","18195","","","","0"
"2011/2012","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","11258","","","","0"
"2012/2013","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","5586","","","","0"
"2012/2013","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","5916","","","","0"
"2012/2013","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","18267","","","","0"
"2012/2013","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","13159","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2644","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2473","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","9025","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2826","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","5474","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","4739","","","","0"
"2012/2013","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","20881","","","","0"
"2012/2013","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","10453","","","","0"
"2012/2013","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","5977","","","","0"
"2012/2013","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","7737","","","","0"
"2012/2013","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","13151","","","","0"
"2012/2013","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","15739","","","","0"
"2012/2013","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","5940","","","","0"
"2012/2013","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5442","","","","0"
"2012/2013","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","12372","","","","0"
"2012/2013","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","9574","","","","0"
"2012/2013","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2565","","","","0"
"2012/2013","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2697","","","","0"
"2012/2013","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","16670","","","","0"
"2012/2013","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","14322","","","","0"
"2012/2013","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","6975","","","","0"
"2012/2013","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","8267","","","","0"
"2012/2013","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","21865","","","","0"
"2012/2013","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","16655","","","","0"
"2012/2013","Manitoba","2016A000246","Canadian undergraduate","Dollars","81","units ","0","v96320880","8.1","3720","","","","0"
"2012/2013","Manitoba","2016A000246","Canadian graduate","Dollars","81","units ","0","v96320881","8.2","4294","","","","0"
"2012/2013","Manitoba","2016A000246","International undergraduate","Dollars","81","units ","0","v96320882","8.3","12287","","","","0"
"2012/2013","Manitoba","2016A000246","International graduate","Dollars","81","units ","0","v96320883","8.4","8558","","","","0"
"2012/2013","Saskatchewan","2016A000247","Canadian undergraduate","Dollars","81","units ","0","v96320884","9.1","6106","","","","0"
"2012/2013","Saskatchewan","2016A000247","Canadian graduate","Dollars","81","units ","0","v96320885","9.2","4294","","","","0"
"2012/2013","Saskatchewan","2016A000247","International undergraduate","Dollars","81","units ","0","v96320886","9.3","16081","","","","0"
"2012/2013","Saskatchewan","2016A000247","International graduate","Dollars","81","units ","0","v96320887","9.4","5090","","","","0"
"2012/2013","Alberta","2016A000248","Canadian undergraduate","Dollars","81","units ","0","v96320888","10.1","5670","","","","0"
"2012/2013","Alberta","2016A000248","Canadian graduate","Dollars","81","units ","0","v96320889","10.2","4775","","","","0"
"2012/2013","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","18657","","","","0"
"2012/2013","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","9481","","","","0"
"2012/2013","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","4931","","","","0"
"2012/2013","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","7362","","","","0"
"2012/2013","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","16989","","","","0"
"2012/2013","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","11523","","","","0"
"2013/2014","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","5767","","","","0"
"2013/2014","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","6038","","","","0"
"2013/2014","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","19416","","","","0"
"2013/2014","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","13490","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2631","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2506","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","9008","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2848","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","5688","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","4820","","","","0"
"2013/2014","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","21207","","","","0"
"2013/2014","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","10780","","","","0"
"2013/2014","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","6215","","","","0"
"2013/2014","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","8044","","","","0"
"2013/2014","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","13779","","","","0"
"2013/2014","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","15928","","","","0"
"2013/2014","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","6112","","","","0"
"2013/2014","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5604","","","","0"
"2013/2014","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","12856","","","","0"
"2013/2014","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","9994","","","","0"
"2013/2014","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2657","","","","0"
"2013/2014","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2726","","","","0"
"2013/2014","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","17491","","","","0"
"2013/2014","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","13760","","","","0"
"2013/2014","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","7257","","","","0"
"2013/2014","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","8470","","","","0"
"2013/2014","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","23688","","","","0"
"2013/2014","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","17818","","","","0"
"2013/2014","Manitoba","2016A000246","Canadian undergraduate","Dollars","81","units ","0","v96320880","8.1","3790","","","","0"
"2013/2014","Manitoba","2016A000246","Canadian graduate","Dollars","81","units ","0","v96320881","8.2","4357","","","","0"
"2013/2014","Manitoba","2016A000246","International undergraduate","Dollars","81","units ","0","v96320882","8.3","12588","","","","0"
"2013/2014","Manitoba","2016A000246","International graduate","Dollars","81","units ","0","v96320883","8.4","8674","","","","0"
"2013/2014","Saskatchewan","2016A000247","Canadian undergraduate","Dollars","81","units ","0","v96320884","9.1","6402","","","","0"
"2013/2014","Saskatchewan","2016A000247","Canadian graduate","Dollars","81","units ","0","v96320885","9.2","3610","","","","0"
"2013/2014","Saskatchewan","2016A000247","International undergraduate","Dollars","81","units ","0","v96320886","9.3","16659","","","","0"
"2013/2014","Saskatchewan","2016A000247","International graduate","Dollars","81","units ","0","v96320887","9.4","4815","","","","0"
"2013/2014","Alberta","2016A000248","Canadian undergraduate","Dollars","81","units ","0","v96320888","10.1","5675","","","","0"
"2013/2014","Alberta","2016A000248","Canadian graduate","Dollars","81","units ","0","v96320889","10.2","4944","","","","0"
"2013/2014","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","18891","","","","0"
"2013/2014","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","9570","","","","0"
"2013/2014","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","5018","","","","0"
"2013/2014","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","7555","","","","0"
"2013/2014","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","17865","","","","0"
"2013/2014","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","12383","","","","0"
"2014/2015","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","5998","","","","0"
"2014/2015","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","6295","","","","0"
"2014/2015","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","20593","","","","0"
"2014/2015","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","13909","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2660","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2474","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","8942","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2822","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","5849","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","4845","","","","0"
"2014/2015","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","21628","","","","0"
"2014/2015","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","11041","","","","0"
"2014/2015","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","6483","","","","0"
"2014/2015","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","8182","","","","0"
"2014/2015","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","14136","","","","0"
"2014/2015","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","16482","","","","0"
"2014/2015","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","6298","","","","0"
"2014/2015","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5759","","","","0"
"2014/2015","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","13212","","","","0"
"2014/2015","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","10368","","","","0"
"2014/2015","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2740","","","","0"
"2014/2015","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2820","","","","0"
"2014/2015","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","18348","","","","0"
"2014/2015","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","14051","","","","0"
"2014/2015","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","7562","","","","0"
"2014/2015","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","8759","","","","0"
"2014/2015","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","25392","","","","0"
"2014/2015","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","18816","","","","0"
